"Instruction_Set","Instruction","Opcode","Operand_1","Operand_2","Bytes_Cycles","Flags_Z_N_H_C","Hex","Binary","Binary_Split","Binary_Prefix","Binary_Split1","Binary_Split2","Binary_Split3"
"Base","RST 30H","RST","30H","","1  16","- - - -","F7","11110111","11 110 111","","11","110","111"
"Base","LD HL,SP+r8","LD","HL","SP+r8","2  12","0 0 H C","F8","11111000","11 111 000","","11","111","000"
"Base","LD SP,HL","LD","SP","HL","1  8","- - - -","F9","11111001","11 111 001","","11","111","001"
"Base","LD A,(a16)","LD","A","(a16)","3  16","- - - -","FA","11111010","11 111 010","","11","111","010"
"Base","EI","EI","","","1  4","- - - -","FB","11111011","11 111 011","","11","111","011"
"Base","NOT USED","","","","","","FC","11111100","11 111 100","","11","111","100"
"Base","NOT USED","","","","","","FD","11111101","11 111 101","","11","111","101"
"Base","CP d8","CP","d8","","2  8","Z 1 H C","FE","11111110","11 111 110","","11","111","110"
"Base","RST 38H","RST","38H","","1  16","- - - -","FF","11111111","11 111 111","","11","111","111"
"Extended","RLC B","RLC","B","","2  8","Z 0 0 C","CB00","1100101100000000","11001011 00 000 000","11001011","00","000","000"
"Extended","RLC C","RLC","C","","2  8","Z 0 0 C","CB01","1100101100000001","11001011 00 000 001","11001011","00","000","001"
"Extended","RLC D","RLC","D","","2  8","Z 0 0 C","CB02","1100101100000010","11001011 00 000 010","11001011","00","000","010"
"Extended","RLC E","RLC","E","","2  8","Z 0 0 C","CB03","1100101100000011","11001011 00 000 011","11001011","00","000","011"
"Extended","RLC H","RLC","H","","2  8","Z 0 0 C","CB04","1100101100000100","11001011 00 000 100","11001011","00","000","100"
"Extended","RLC L","RLC","L","","2  8","Z 0 0 C","CB05","1100101100000101","11001011 00 000 101","11001011","00","000","101"
"Extended","RLC (HL)","RLC","(HL)","","2  16","Z 0 0 C","CB06","1100101100000110","11001011 00 000 110","11001011","00","000","110"
"Extended","RLC A","RLC","A","","2  8","Z 0 0 C","CB07","1100101100000111","11001011 00 000 111","11001011","00","000","111"
"Extended","RRC B","RRC","B","","2  8","Z 0 0 C","CB08","1100101100001000","11001011 00 001 000","11001011","00","001","000"
"Extended","RRC C","RRC","C","","2  8","Z 0 0 C","CB09","1100101100001001","11001011 00 001 001","11001011","00","001","001"
"Extended","RRC D","RRC","D","","2  8","Z 0 0 C","CB0A","1100101100001010","11001011 00 001 010","11001011","00","001","010"
"Extended","RRC E","RRC","E","","2  8","Z 0 0 C","CB0B","1100101100001011","11001011 00 001 011","11001011","00","001","011"
"Extended","RRC H","RRC","H","","2  8","Z 0 0 C","CB0C","1100101100001100","11001011 00 001 100","11001011","00","001","100"
"Extended","RRC L","RRC","L","","2  8","Z 0 0 C","CB0D","1100101100001101","11001011 00 001 101","11001011","00","001","101"
"Extended","RRC (HL)","RRC","(HL)","","2  16","Z 0 0 C","CB0E","1100101100001110","11001011 00 001 110","11001011","00","001","110"
"Extended","RRC A","RRC","A","","2  8","Z 0 0 C","CB0F","1100101100001111","11001011 00 001 111","11001011","00","001","111"
